Restaurant Name,Location,Type of Cuisine,lat,lon,Address,Phone Number,Opening Hours
Uchi Coffee,Tai Wai,Coffee,22.3765086,114.1782063,"Hong Kong, Tai Wai, Chik Shun St, 31-51號, On Shun Mansion, 49 地下P 舖",2677 3218,"SUN:1130~2200
MON:1130~2200
TUE:1130~2200
WED:1130~2200
THU:1130~2200
FRI:1130~2200
SAT:1130~2200"
Unagi Koubou,Tsim Sha Tsui,Japanese,22.2981609,114.1739487,"Hong Kong, Tsim Sha Tsui, Hart Ave, 1及3號, Lee Wai Commercial Building, 地下7號舖",5598 8744,"SUN:1200~1600, 1700~2230
MON:1200~1600, 1700~2230
TUE:1200~1600, 1700~2230
WED:1200~1600, 1700~2230
THU:1200~1600, 1700~2230
FRI:1200~1600, 1700~2230
SAT:1200~1600, 1700~2230"
Uncle Ming's,Wan Chai,Chinese,22.2792047,114.1768771,"25/F, AKI Hong Kong - MGallery, 239 Jaffe Rd, Wan Chai, Hong Kong",2121 5023,"SUN:1700~0000
MON:1700~0000
TUE:1700~0000
WED:1700~0000
THU:1700~0000
FRI:1700~0200
SAT:1700~0200"
Veda Café & Bar,Central,Café & Bar,22.2802407,114.1545988,"2 Arbuthnot Rd, Central, Hong Kong",3755 3067,"SUN:0700~1600
MON:0700~1600
TUE:0700~2230
WED:0700~2230
THU:0700~2230
FRI:0700~2230
SAT:0700~2230"
Victoria Pearl,North Point,Seafood,22.2929798,114.199574,"東座5樓, 北角匯, 1號 North Point Estate Ln, North Point, Hong Kong",2361 1172,"SUN:1100~1500, 1730~2200
MON:1100~1500, 1730~2200
TUE:1100~1500, 1730~2200
WED:1100~1500, 1730~2200
THU:1100~1500, 1730~2200
FRI:1100~1500, 1730~2200
SAT:1100~1500, 1730~2200"
Victorian Era,Multiple locations,British,,,,,No work time available
Villa26,Tsim Sha Tsui,Italian,22.2974599,114.1777302,"Tsim Sha Tsui Centre, 66號 Mody Rd, Tsim Sha Tsui, Hong Kong",2724 0707,"SUN:1200~2200
MON:1200~2200
TUE:1200~2200
WED:1200~2200
THU:1200~2200
FRI:1200~2200
SAT:1200~2200"
Vivace,Chek Lap Kok,Italian,22.3191672,113.9421627,"3/F, Lantau Island, International Airport, 8 Airport Expo Blvd, Chek Lap Kok, Hong Kong",3556 3218,"SUN:1200~2300
MON:1200~2300
TUE:1200~2300
WED:1200~2300
THU:1200~2300
FRI:1200~2300
SAT:1200~2300"
Vivant,Central,International,22.28235249999999,114.1547437,"Hong Kong, 中環擺花街8號G/F",2952 2766,"TUE:1800~0000
WED:1800~0000
THU:1800~0000
FRI:1800~0000
SAT:1800~0000"
Voynich,Tsim Sha Tsui,Cocktail Bar,22.2953381,114.1688303,"shop 401, Level 4, Ocean Centre, Harbour City, Canton Rd, Tsim Sha Tsui, Hong Kong",2688 2408,"SUN:1200~2300
MON:1200~2300
TUE:1200~2300
WED:1200~2300
THU:1200~2300
FRI:1200~2300
SAT:1200~2300"
Wagyu Yakiniku Ichiro,Multiple locations,Japanese,,,,,No work time available
Wall Is Eat,Yau Ma Tei,Asian Fusion,22.3124806,114.1703052,"M1 Hotel, 28 Portland St, Yau Ma Tei, Hong Kong",2710 6633,"SUN:1200~2230
MON:1200~2230
TUE:1200~2230
WED:1200~2230
THU:1200~2230
FRI:1200~2230
SAT:1200~2230"
Whey,Central,Café,22.2848936,114.1528269,"UG/F, The Wellington, 198 Wellington St, Central, Hong Kong",2693 3198,"SUN:1200~1500, 1800~2300
MON:1200~1500, 1800~2300
TUE:1200~1500, 1800~2300
WED:1200~1500, 1800~2300
THU:1200~1500, 1800~2300
FRI:1200~1500, 1800~2300
SAT:1200~1500, 1800~2300"
WOOBAR,Tsim Sha Tsui,Bar & Lounge,22.3048667,114.1606448,"Hong Kong, Tsim Sha Tsui, Austin Rd W, 1號, W 6, F",3717 2889,"SUN:1200~2200
MON:1200~0000
TUE:1200~0000
WED:1200~0000
THU:1200~0000
FRI:1200~0000
SAT:1200~0000"
Wulu Restaurant,Tsim Sha Tsui,International,22.3028232,114.1753561,"Perfect Commercial Building, 20號 Austin Ave, Tsim Sha Tsui, Hong Kong",2606 2106,"SUN:1700~0000
MON:1700~0000
TUE:1700~0000
WED:1700~0000
THU:1700~0000
FRI:1700~0000
SAT:1700~0000"
Xiabu Xiabu,Multiple locations,Chinese,39.9400771,116.4354986,"China, Bei Jing Shi, Dong Cheng Qu, Dongzhimen, 东直门外大街48号银座MALL地下一层 邮政编码: 100007",400 817 7878,"SUN:1030~2130
MON:1030~2130
TUE:1030~2130
WED:1030~2130
THU:1030~2130
FRI:1030~2130
SAT:1030~2130"
Yakiniku Homura,Tuen Mun,Japanese,22.393048,113.976644,"Hong Kong, Tuen Mun, Tuen Shun St, 1號屯門市廣場1期2樓2253A舖",2330 3881,"SUN:1130~2130
MON:1130~2130
TUE:1130~2130
WED:1130~2130
THU:1130~2130
FRI:1130~2130
SAT:1130~2130"
YAKINIKU KAKURA,Causeway Bay,Japanese,22.2813968,114.1839249,"Hong Kong, Causeway Bay, Jaffe Rd, 535號HK 香港島 銅鑼灣 Tower 535 1樓 101-102號舖",2803 2138,"SUN:1200~2200
MON:1200~2200
TUE:1200~2200
WED:1200~2200
THU:1200~2200
FRI:1200~2200
SAT:1200~2200"
